# start_index(1-based) end_index(1-based) count average(10-bit)
1 8 8 557
9 34 26 478
35 52 18 565
53 60 8 527
61 71 11 399
72 101 30 552
102 109 8 465
110 118 9 641
119 153 35 526
154 161 8 456
162 171 10 632
172 209 38 481
210 220 11 580
221 231 11 518
232 244 13 488
245 257 13 517
258 270 13 609
271 283 13 472
284 291 8 365
292 300 9 444
301 333 33 484
334 352 19 578
353 365 13 535
366 385 20 536
386 404 19 539
405 415 11 560
416 424 9 527
425 442 18 450
443 450 8 560
451 463 13 488
464 500 37 534
