# start_index(1-based) end_index(1-based) count average
1 11 11 519.090909
12 23 12 565.166667
24 26 3 425.000000
27 39 13 388.461538
40 70 31 531.451613
71 76 6 367.666667
77 79 3 464.000000
80 136 57 488.473684
137 142 6 544.666667
143 145 3 496.333333
146 154 9 553.888889
155 158 4 552.000000
159 161 3 420.666667
162 170 9 377.888889
171 173 3 418.333333
174 176 3 397.000000
177 193 17 526.823529
194 201 8 543.500000
202 204 3 475.333333
205 216 12 461.833333
217 219 3 593.666667
220 222 3 547.000000
223 227 5 522.400000
228 242 15 439.266667
243 249 7 390.857143
250 257 8 365.500000
258 267 10 385.700000
268 275 8 425.625000
276 286 11 393.818182
287 307 21 355.142857
308 311 4 414.500000
312 315 4 480.000000
316 322 7 505.571429
323 332 10 528.800000
333 347 15 483.333333
348 352 5 599.200000
353 361 9 461.888889
362 368 7 445.857143
369 371 3 494.333333
372 380 9 519.555556
381 384 4 574.250000
385 396 12 505.000000
397 401 5 472.000000
402 419 18 515.000000
420 437 18 475.444444
438 440 3 593.333333
441 443 3 506.333333
444 446 3 494.666667
447 450 4 474.750000
451 454 4 434.250000
455 457 3 426.666667
458 474 17 454.470588
475 480 6 537.833333
481 488 8 455.625000
489 491 3 446.333333
492 495 4 473.500000
496 500 5 533.600000
